,Unnamed: 0,date,category_id,sku_id,sales_price,sales_quantity
0,0,2020-11-01,7,1045,284.7,1.504711
1,1,2020-11-02,7,1045,284.7,1.5510864
2,2,2020-11-03,7,1045,284.7,1.6356145
3,3,2020-11-04,7,1045,284.7,1.6099942
4,4,2020-11-05,7,1045,284.7,1.7864923
5,5,2020-11-06,7,1045,284.7,1.9255899
6,6,2020-11-07,7,1045,284.7,1.6938757
7,7,2020-11-08,7,1045,284.7,1.4656137
8,8,2020-11-09,7,1045,284.7,1.3955984
9,9,2020-11-10,7,1045,284.7,1.5450462
10,10,2020-11-11,7,1045,284.7,1.530047
11,11,2020-11-12,7,1045,284.7,1.6796907
12,12,2020-11-13,7,1045,369.2,1.5014192
13,13,2020-11-14,7,1045,369.2,1.5686554
14,14,2020-11-01,7,1047,687.7,1.4846656
15,15,2020-11-02,7,1047,687.7,0.9507904
16,16,2020-11-03,7,1047,687.7,0.91376257
17,17,2020-11-04,7,1047,687.7,1.2776605
18,18,2020-11-05,7,1047,687.7,1.4541585
19,19,2020-11-06,7,1047,687.7,1.3201944
20,20,2020-11-07,7,1047,687.7,1.6045007
21,21,2020-11-08,7,1047,687.7,1.4084493
22,22,2020-11-09,7,1047,687.7,0.83859164
23,23,2020-11-10,7,1047,687.7,0.98803955
24,24,2020-11-11,7,1047,687.7,0.9542775
25,25,2020-11-12,7,1047,687.7,1.0786935
26,26,2020-11-13,7,1047,895.7,1.2413403
27,27,2020-11-14,7,1047,895.7,1.7017131
28,28,2020-11-01,7,1108,499.2000000000001,1.4846656
29,29,2020-11-02,7,1108,499.2000000000001,0.9507904
30,30,2020-11-03,7,1108,499.2000000000001,0.91376257
31,31,2020-11-04,7,1108,499.2000000000001,1.2776605
32,32,2020-11-05,7,1108,499.2000000000001,1.4541585
33,33,2020-11-06,7,1108,499.2000000000001,1.3201944
34,34,2020-11-07,7,1108,499.2000000000001,1.6045007
35,35,2020-11-08,7,1108,499.2000000000001,1.4084493
36,36,2020-11-09,7,1108,499.2000000000001,0.83859164
37,37,2020-11-10,7,1108,499.2000000000001,0.98803955
38,38,2020-11-11,7,1108,499.2000000000001,0.9542775
39,39,2020-11-12,7,1108,499.2000000000001,1.0786935
40,40,2020-11-13,7,1108,499.2000000000001,1.2413403
41,41,2020-11-14,7,1108,499.2000000000001,1.7017131
42,42,2020-11-01,7,1172,453.7,1.4846656
43,43,2020-11-02,7,1172,453.7,0.9507904
44,44,2020-11-03,7,1172,453.7,0.91376257
45,45,2020-11-04,7,1172,453.7,1.2776605
46,46,2020-11-05,7,1172,453.7,1.4541585
47,47,2020-11-06,7,1172,453.7,1.3201944
48,48,2020-11-07,7,1172,453.7,1.6045007
49,49,2020-11-08,7,1172,453.7,1.4084493
50,50,2020-11-09,7,1172,453.7,0.83859164
51,51,2020-11-10,7,1172,453.7,0.98803955
52,52,2020-11-11,7,1172,453.7,0.9542775
53,53,2020-11-12,7,1172,453.7,1.0786935
54,54,2020-11-13,7,1172,590.2,1.2413403
55,55,2020-11-14,7,1172,590.2,1.7017131
56,56,2020-11-01,7,1179,505.7000000000001,1.4846656
57,57,2020-11-02,7,1179,505.7000000000001,0.9507904
58,58,2020-11-03,7,1179,505.7000000000001,0.91376257
59,59,2020-11-04,7,1179,505.7000000000001,1.2776605
60,60,2020-11-05,7,1179,505.7000000000001,1.4541585
61,61,2020-11-06,7,1179,505.7000000000001,1.3201944
62,62,2020-11-07,7,1179,505.7000000000001,1.6045007
63,63,2020-11-08,7,1179,505.7000000000001,1.4084493
64,64,2020-11-09,7,1179,505.7000000000001,0.83859164
65,65,2020-11-10,7,1179,505.7000000000001,0.98803955
66,66,2020-11-11,7,1179,505.7000000000001,0.9542775
67,67,2020-11-12,7,1179,505.7000000000001,1.0786935
68,68,2020-11-13,7,1179,648.7,1.2413403
69,69,2020-11-14,7,1179,648.7,1.7017131
70,70,2020-11-01,7,1634,1168.7,1.4846656
71,71,2020-11-02,7,1634,1168.7,0.9507904
72,72,2020-11-03,7,1634,1168.7,0.91376257
73,73,2020-11-04,7,1634,1168.7,1.2776605
74,74,2020-11-05,7,1634,1168.7,1.4541585
75,75,2020-11-06,7,1634,1168.7,1.3201944
76,76,2020-11-07,7,1634,1168.7,1.6045007
77,77,2020-11-08,7,1634,1168.7,1.4084493
78,78,2020-11-09,7,1634,1168.7,0.83859164
79,79,2020-11-10,7,1634,1168.7,0.98803955
80,80,2020-11-11,7,1634,1168.7,0.9542775
81,81,2020-11-12,7,1634,1168.7,1.0786935
82,82,2020-11-13,7,1634,1168.7,1.2413403
83,83,2020-11-14,7,1634,1168.7,1.7017131
84,84,2020-11-01,7,1635,830.7,1.4846656
85,85,2020-11-02,7,1635,830.7,0.9507904
86,86,2020-11-03,7,1635,830.7,0.91376257
87,87,2020-11-04,7,1635,830.7,1.2776605
